Year,Week Number,Average
1901,23,55.614
1901,24,55.522000000000006
1901,25,56.318
1901,26,55.738
1901,27,55.71
1901,28,52.794000000000004
1901,29,51.358000000000004
1901,30,51.646
1901,31,52.178
1901,32,50.39
1901,33,51.312
1901,34,51.946000000000005
1901,35,52.962
1901,36,52.7275
1901,37,50.794
1901,38,50.805
1901,39,48.642
1901,40,47.46999999999999
1901,41,46.784000000000006
1901,42,47.322
1901,43,47.432
1901,44,46.708
1901,45,46.8825
1901,46,47.852
1901,47,47.50600000000001
1901,48,47.4
1901,49,46.64
1901,50,45.36
1901,51,45.346
1901,52,45.184999999999995
1902,1,46.366
1902,2,46.628
1902,3,45.866
1902,4,46.146
1902,5,46.92
1902,6,47.016
1902,7,46.925
1902,8,47.118
1902,9,47.236000000000004
1902,10,47.33
1902,11,47.214
1902,12,48.208000000000006
1902,13,48.665000000000006
1902,14,48.58
1902,15,48.1
1902,16,48.456
1902,17,48.7
1902,18,48.477999999999994
1902,19,48.160000000000004
1902,20,47.622
1902,21,47.54600000000001
1902,22,48.04
1902,23,47.68
1902,24,47.784
1902,25,47.349999999999994
1902,26,46.273999999999994
1902,27,46.7525
1902,28,46.788
1902,29,47.352
1902,30,48.077999999999996
1902,31,48.104000000000006
1902,32,48.032000000000004
1902,33,48.108
1902,34,47.838
1902,35,47.86
1902,36,48.2675
1902,37,48.348
1902,38,48.44200000000001
1902,39,47.79
1902,40,47.756
1902,41,46.662000000000006
1902,42,47.398
1902,43,47.862
1902,44,47.596
1902,45,46.8325
1902,46,44.52
1902,47,44.970000000000006
1902,48,44.9925
1902,49,44.961999999999996
1902,50,44.206
1902,51,43.732
1902,52,45.355
1903,1,46.79
1903,2,47.73
1903,3,47.050000000000004
1903,4,46.763999999999996
1903,5,47.239999999999995
1903,6,47.934000000000005
1903,7,48.6025
1903,8,48.764
1903,9,48.38250000000001
1903,10,47.36999999999999
1903,11,46.442
1903,12,47.034000000000006
1903,13,46.55
1903,14,45.65
1903,15,45.10249999999999
1903,16,45.158
1903,17,46.58
1903,18,46.20399999999999
1903,19,46.238
1903,20,45.924
1903,21,44.928
1903,22,44.056
1903,23,42.984
1903,24,41.974000000000004
1903,25,41.646
1903,26,41.492
1903,27,42.432
1903,28,41.636
1903,29,39.724000000000004
1903,30,37.209999999999994
1903,31,36.808
1903,32,35.602
1903,33,36.388
1903,34,37.97
1903,35,37.858
1903,36,37.996
1903,37,37.0925
1903,38,35.98799999999999
1903,39,34.458
1903,40,33.64
1903,41,33.62
1903,42,31.28
1903,43,32.211999999999996
1903,44,32.768
1903,45,32.21
1903,46,31.094
1903,47,31.832
1903,48,31.9325
1903,49,32.868
1903,50,33.976
1903,51,33.932
1903,52,34.197500000000005
1903,53,35.5175
1904,1,34.478
1904,2,34.626
1904,3,35.54
1904,4,36.04
1904,5,35.102
1904,6,34.585
1904,7,34.884
1904,8,34.072500000000005
1904,9,34.64
1904,10,34.08800000000001
1904,11,34.50599999999999
1904,12,35.008
1904,13,35.34
1904,14,35.7
1904,15,35.932
1904,16,35.496
1904,17,35.36800000000001
1904,18,35.144
1904,19,34.92
1904,20,34.422000000000004
1904,21,34.934000000000005
1904,22,34.8925
1904,23,35.15
1904,24,35.394
1904,25,35.67
1904,26,35.642
1904,27,36.2325
1904,28,37.327999999999996
1904,29,38.15
1904,30,37.977999999999994
1904,31,38.198
1904,32,38.467999999999996
1904,33,39.054
1904,34,39.112
1904,35,39.646
1904,36,40.474999999999994
1904,37,41.098
1904,38,40.596
1904,39,41.454
1904,40,42.102
1904,41,43.24999999999999
1904,42,44.964000000000006
1904,43,45.459999999999994
1904,44,46.59599999999999
1904,45,48.685
1904,46,50.23799999999999
1904,47,50.905
1904,48,52.326
1904,49,50.986000000000004
1904,50,48.336
1904,51,49.58
1904,52,50.777499999999996
1905,1,50.7525
1905,2,50.634
1905,3,51.260000000000005
1905,4,50.424
1905,5,51.519999999999996
1905,6,52.507999999999996
1905,7,53.342499999999994
1905,8,54.6625
1905,9,54.998000000000005
1905,10,55.604
1905,11,56.38399999999999
1905,12,56.298
1905,13,57.166
1905,14,59.46
1905,15,59.931999999999995
1905,16,59.8225
1905,17,57.722
1905,18,55.42999999999999
1905,19,55.30999999999999
1905,20,54.96999999999999
